number,name,address,position.lat,position.lng
11019,Goal Cross Cork,Western Road,51.89465357,-8.494707588
11020,Blackpool Church,N/A,51.91145986,-8.473715054
11021,Greenhills,Greenhills Estate,51.88153717,-8.454880946
11022,Washington Street,Washington Street,51.89717747,-8.482210291
11023,Washington Street,St Finbarres Bridge,51.89716849,-8.482210195
11024,Fota Lawn,Fota Lawn,51.90815651,-8.500814759
11025,Ring Road,North Ring Road,51.91479603,-8.443413837
11026,Ballinlough Road,Ballinlough Road,51.88829239,-8.434712618
11027,Eglantine Park,Eglantine Park,51.88306714,-8.445004447
11028,Ardfallen Park,Ardfallen Estate,51.88606663,-8.445774922
11029,Scoil Bernadette,Tracton Avenue,51.90746599,-8.437237591
11030,Scoil Bernadette,Tracton Avenue,51.90745673,-8.437310168
11031,Scoil Bernadette,Tracton Avenue,51.90746583,-8.437281189
11032,Sacred Heart School Douglas Road,South Douglas Road,51.88178799,-8.452777323
11033,Fairfield Avenue,,51.91665644,-8.477956242
11034,Langford Row,Langford Row,51.89279159,-8.466385113
11035,Langford Row,Langford Row,51.89287238,-8.466415007
11036,MacCurtain Street,Maccurtain Street,51.90154827,-8.468350361
11037,Glen Avenue,Glen Avenue,51.91255801,-8.468857339
11038,Carrigrohane Road,Carrigrohane Road,51.8933106,-8.508204754
11039,Carrigrohane Road,Carrigrohane Road,51.89309481,-8.508216849
11040,UCC Gaol Cross,Western Road,51.89474382,-8.494621403
11041,Texaco Garage Ballyhooley Road,Ballyhooly Road,51.90878122,-8.455461344
11042,Mayfield Library,Old Youghal Road,51.91088956,-8.444785217
11043,Bon Secours Hospital,College Road,51.89108083,-8.497791924
11044,Parnell Place,,51.89938133,-8.466220851
11045,Parnell Place,,51.89938133,-8.466220851
11046,Lapps Quay,Lapps Quay,51.89795055,-8.466598363
11047,Lapps Quay,Lapps Quay,51.89796018,-8.466438628
11048,Lapps Quay,Lapps Quay,51.89804079,-8.466512115
11049,Halldene Estate Bishopstown,Curraheen Road,51.87472257,-8.538144846
11050,Halldene Estate,Curraheen Road,51.87508776,-8.536914743
11051,Audley Place,Lansdowne Court,51.90566202,-8.469177923
11052,Audley Place,Lansdowne Court,51.90565298,-8.469192362
